,P,Load
oven_3,2.5,oven
oven_3,5.0,oven
oven_3,1710.0,oven
oven_3,1695.0,oven
oven_3,1690.0,oven
oven_3,1685.0,oven
oven_3,1677.5,oven
oven_3,1672.5,oven
oven_3,1665.0,oven
oven_3,1660.0,oven
oven_3,1652.5,oven
oven_3,1650.0,oven
oven_3,1645.0,oven
oven_3,1650.0,oven
oven_3,1660.0,oven
oven_3,1662.5,oven
oven_3,1662.5,oven
oven_3,1662.5,oven
oven_3,1662.5,oven
oven_3,1662.5,oven
oven_3,1662.5,oven
oven_3,1662.5,oven
oven_3,1660.0,oven
oven_3,1657.5,oven
oven_3,1660.0,oven
oven_3,1660.0,oven
oven_3,1657.5,oven
oven_3,1657.5,oven
oven_3,1655.0,oven
oven_3,1652.5,oven
oven_3,1655.0,oven
oven_3,1655.0,oven
oven_3,1655.0,oven
oven_3,1655.0,oven
oven_3,1655.0,oven
oven_3,1652.5,oven
oven_3,1652.5,oven
oven_3,1652.5,oven
oven_3,1652.5,oven
oven_3,1652.5,oven
oven_3,1652.5,oven
oven_3,1652.5,oven
oven_3,1652.5,oven
oven_3,1650.0,oven
oven_3,1650.0,oven
oven_3,1650.0,oven
oven_3,1650.0,oven
oven_3,1650.0,oven
oven_3,1652.5,oven
oven_3,1652.5,oven
oven_3,1652.5,oven
oven_3,1652.5,oven
oven_3,1652.5,oven
oven_3,1652.5,oven
oven_3,1650.0,oven
oven_3,1647.5,oven
oven_3,1647.5,oven
oven_3,1647.5,oven
oven_3,1647.5,oven
oven_3,1650.0,oven
oven_3,1650.0,oven
oven_3,1650.0,oven
oven_3,1650.0,oven
oven_3,1650.0,oven
oven_3,1650.0,oven
oven_3,1650.0,oven
oven_3,1647.5,oven
oven_3,1647.5,oven
oven_3,1647.5,oven
oven_3,1647.5,oven
oven_3,1647.5,oven
oven_3,1650.0,oven
oven_3,1650.0,oven
oven_3,1647.5,oven
oven_3,1650.0,oven
oven_3,1647.5,oven
oven_3,1650.0,oven
oven_3,1670.0,oven
oven_3,1665.0,oven
oven_3,1660.0,oven
oven_3,1652.5,oven
oven_3,1647.5,oven
oven_3,1647.5,oven
oven_3,1652.5,oven
oven_3,1657.5,oven
oven_3,1660.0,oven
oven_3,1662.5,oven
oven_3,1660.0,oven
oven_3,1660.0,oven
oven_3,1660.0,oven
oven_3,1657.5,oven
oven_3,1660.0,oven
oven_3,1657.5,oven
oven_3,1657.5,oven
oven_3,1655.0,oven
oven_3,1655.0,oven
oven_3,1682.5,oven
oven_3,1675.0,oven
oven_3,1670.0,oven
oven_3,1665.0,oven
oven_3,1657.5,oven
oven_3,1655.0,oven
oven_3,1650.0,oven
oven_3,1652.5,oven
oven_3,1660.0,oven
oven_3,1662.5,oven
oven_3,1662.5,oven
oven_3,1665.0,oven
oven_3,1662.5,oven
oven_3,1662.5,oven
oven_3,1662.5,oven
oven_3,1662.5,oven
oven_3,1660.0,oven
oven_3,1657.5,oven
oven_3,1657.5,oven
oven_3,1662.5,oven
oven_3,1657.5,oven
oven_3,1647.5,oven
oven_3,1650.0,oven
oven_3,1660.0,oven
oven_3,1660.0,oven
oven_3,1665.0,oven
oven_3,1662.5,oven
oven_3,1662.5,oven
oven_3,1662.5,oven
oven_3,1662.5,oven
oven_3,1662.5,oven
oven_3,1662.5,oven
oven_3,1662.5,oven
oven_3,1660.0,oven
oven_3,1660.0,oven
oven_3,1665.0,oven
oven_3,1650.0,oven
oven_3,1647.5,oven
oven_3,1652.5,oven
oven_3,1647.5,oven
